Title,Ingredients,Removed amounts and measurements
Barbeque Bacon Quesadillas,"['2 tablespoons olive oil', '½ large yellow onion, sliced thin', '6 slices bacon, diced', '1 tablespoon brown sugar', '8 (10 inch) flour tortillas', '1 cup spicy barbeque sauce', '¼ cup chopped fresh cilantro', '2 cups shredded Cheddar cheese']","['oil','onion','bacon','sugar','flour','barbeque sauce','cilantro','cheddar']"
Spinach Whole Wheat Quesadillas,"['2 (10 inch) whole wheat tortillas', '3 cups fresh spinach leaves', '⅔ cup shredded Cheddar cheese', '1 green onion, chopped', '½ teaspoon garlic powder', '½ teaspoon chili powder']","['tortilla','spinach','cheddar','onion','garlic','chili']"
Street-Market Fried Quesadillas,"['1 ½ teaspoons olive oil', '¼ cup chopped onion', '½ red bell pepper, finely chopped', '¼ cup frozen corn kernels, thawed', '1 serrano chile pepper, seeded and diced', '1 clove garlic, minced', '1 (15 ounce) can HORMEL® Mary Kitchen® Roast Beef Hash', '1 canned chipotle chile in adobo sauce, minced, or more to taste', '3 tablespoons vegetable oil for frying, or as needed', '8 corn tortillas', '1 cup shredded mozzarella cheese', '¼ cup chopped onion', '¼ cup chopped fresh cilantro', '1 cup salsa', '½ cup sour cream']","['oil','onion','pepper','corn','chile','garlic','beef','adobo sauce','oil','corn','mozzarella','onion','cilantro','salsa','cream']"
Peanut Butter Banana Quesadilla,"['¼ cup peanut butter', '2 (8 inch) flour tortillas', '1 banana, sliced', 'cooking spray']","['butter','flour','banana','cooking spray']"
Cheese 'N Rice Quesadillas,"['2 cups water', ""1 tablespoon I Can't Believe It's Not Butter!® Spread"", '1 (5.4 ounce) package Knorr® Fiesta Sides™ - Mexican Rice', '1 (4 ounce) can chopped green chiles, drained', '10 (6 inch) flour tortillas', '1 ¼ cups shredded Monterey Jack cheese']","['water','t believe it','ice','chile','flour','monterey jack']"
Smoked Andouille Quesadilla,"['1 (12 ounce) package al fresco® Smoked Andouille Chicken Sausage, browned, sliced on the bias', '4 (10 inch) sun-dried tomato wraps or tortillas', '16 thin slices provolone cheese', '6 ounces roasted red peppers, drained, sliced', '1 fresh avocado, thinly sliced', '2/3 cup grated carrots', '2/3 cup mild salsa', '1/2 cup fat-free sour cream']","['chicken','tomato','cheese','pepper','avocado','carrot','salsa','cream']"
Southwestern Corned Beef Quesadillas!,"['½ cup leftover corned beef brisket, shredded', '2 (8 inch) flour tortillas', '½ cup shredded Monterey Jack cheese', '2 tablespoons diced green chilies']","['beef','flour','monterey jack','chili']"
Smokehouse Burger Quesadillas,"['1 pound lean ground beef', '½ onion, cut into 1-inch pieces', '1 cup barbeque sauce', '4 flour tortillas', '1 cup shredded Cheddar cheese', '1 cup French-fried onions']","['beef','onion','barbeque sauce','flour','cheddar','onion']"
Philly Cheesesteak Quesadillas,"['1 (1 pound) beef top sirloin, thinly sliced', '2 small onions, sliced', '2 green bell peppers, sliced', ""1 cup barbeque sauce (such as Bull's-Eye® Texas-Style Bold Barbeque Sauce)"", '8 (10 inch) flour tortillas', '2 cups shredded Cheddar cheese']","['beef','onion','pepper','barbeque sauce',', ']"
Caramelized Onion and Jalapeno Quesadillas,"['1 tablespoon butter', '1 large onion, chopped', '2 jalapeno peppers, chopped', '2 tablespoons vegetable oil, or as needed', '4 (10 inch) flour tortillas', '1 cup shredded Mexican cheese blend']","['butter','onion','jalapeno','oil','flour','cheese']"
Quick Caribbean Quesadillas,"['¼ cup honey mustard', '2 tablespoons pineapple preserves', '8 (10 inch) flour tortillas', '1 ½ cups shredded Swiss cheese', '2 tablespoons butter', '2 cups chopped cooked chicken', '½ cup cooked crumbled bacon', '1 ½ cups unsweetened pineapple tidbits, drained']","['honey','apple','flour','cheese','butter','chicken','bacon','apple']"
Cheesy Bacon-Bean Quesadillas,"['1 (11 ounce) package Old El Paso® flour tortillas for burritos, 8 inch', '1 cup Old El Paso® refried beans', '2 cups shredded Mexican cheese blend', '½ pound bacon, crisply cooked, crumbled', '2 scallions, chopped', 'Butter, melted', '1 cup sour cream', ""1 cup Old El Paso® Thick 'n Chunky salsa""]","['flour','beans','cheese','bacon','scallions','butter','cream']"
Barbecue Portobello Quesadillas,"['1/2 cup prepared barbecue sauce', '1 tablespoon tomato paste', '1 tablespoon cider vinegar', '1 chipotle chile in adobo sauce (see Note), minced*', '1 tablespoon canola oil', '1 pound portobello mushroom caps, gills removed, diced', '1 medium onion, finely diced', '4 8- to 10-inch whole-wheat tortillas', '3/4 cup shredded Monterey Jack cheese', '2 teaspoons canola oil']","['barbecue sauce','tomato','vinegar','adobo sauce','oil','mushroom','onion','tortilla','monterey jack','oil']"
Peanut Butter Quesadillas,"['1 teaspoon butter', '1 (10 inch) flour tortilla', '2 tablespoons peanut butter', '2 tablespoons grape jelly']","['butter','flour','butter','jelly']"
Margarita Chicken Quesadillas,"['1 cup bottled margarita mix', '2 tablespoons lemon juice', '2 tablespoons lime juice', '1 tablespoon garlic powder', '1 tablespoon vegetable oil', '2 skinless, boneless chicken breast halves - cut into bite-size pieces', '8 (10 inch) flour tortillas', '1 cup shredded Cheddar cheese', '1 cup shredded Monterey Jack cheese']","['1 cup bottled margarita mix','lemon','lime','garlic','oil','chicken','flour','cheddar','monterey jack']"
Guacamole Chicken Melt,"['1 tablespoon butter', '2 tablespoons olive oil', '4 skinless, boneless chicken breast halves', '2 teaspoons Creole-style seasoning', '2 avocados, peeled and pitted', '1 tablespoon fresh lime juice', '1 small tomato, diced', '2 tablespoons finely chopped red onion', 'garlic powder to taste', 'salt and pepper to taste', '4 slices pepper jack cheese']","['butter','oil','chicken','tea','avocado','lime','tomato','onion','garlic','salt','cheese']"
How to Make a Tuna Melt,"['1 (6.5 ounce) jar oil-packed tuna, drained', '1 tablespoon minced green onion', '2 tablespoons finely diced celery', '2 teaspoons capers, drained', '1 teaspoon Asian chile paste (such as sambal oelek)', '2 tablespoons mayonnaise, or more to taste', '⅓ cup fresh mozzarella cheese', 'salt and ground black pepper to taste', '2 tablespoons softened butter, divided', '2 thick slices French bread', '¼ cup shredded sharp white Cheddar cheese, divided', '1 pinch cayenne pepper, or to taste']","['oil','onion','celery','capers','chile','mayonnaise','mozzarella','pepper','butter','bread','cheddar','cayenne']"
California Melt,"['4 slices whole-grain bread, lightly toasted', '1 avocado, sliced', '1 cup sliced mushrooms', '⅓ cup sliced toasted almonds', '1 tomato, sliced', '4 slices Swiss cheese']","['bread','avocado','mushroom','almond','tomato','cheese']"
Chicken Fajita Melts,"['3 tablespoons vegetable oil', '6 (6 ounce) skinless, boneless chicken breast halves, thinly sliced', '½ cup sliced onions', '½ cup sliced red bell pepper', '½ cup tomato juice', '2 tablespoons taco seasoning mix', '1 cup salsa', '8 (1/2 inch thick) slices French bread', '2 cups shredded Cheddar cheese']","['oil','chicken','onion','pepper','tomato','taco','salsa','bread','cheddar']"
St. Patty Melt,"['1 bunch Lacinato kale', '1 bunch mustard greens', '10 tablespoons Irish butter, divided', '2 cloves garlic, minced', '¾ cup sliced green onions, white and light green parts only', 'salt and freshly ground black pepper to taste', '1 pinch cayenne pepper, or to taste', '2 tablespoons seasoned rice vinegar', '8 thick slices French bread', '1 (8 ounce) package Irish white Cheddar cheese, sliced']","['ale','mustard greens','butter','clove','onion','pepper','cayenne','ice','bread','cheddar']"
The Munroe Melt,"['1 crusty sandwich roll, split', '1 tablespoon prepared Dijon mustard mayonnaise blend', '2 slices deli turkey', '1 slice Swiss cheese', '2 slices deli ham', '1 tablespoon mayonnaise', '2 slices deli roast beef', '2 slices tomato', '1 slice Muenster cheese']","['roll','dijon mustard','turkey','cheese','ham','mayonnaise','beef','tomato','cheese']"
Mary Pat's Tuna Melt,"['1 (5 ounce) can olive-oil packed tuna, undrained', '¼ cup mayonnaise', '1 teaspoon Dijon mustard', '1 dill pickle, chopped', '2 tablespoons minced red onion', '4 slices rustic whole-grain bread', '4 slices Irish Cheddar cheese', '2 tablespoons whipped cream cheese, divided', '1 cup coarsely crushed potato chips (such as Utz®)', '2 tablespoons mayonnaise, divided']","['oil','mayonnaise','dijon mustard','dill','onion','bread','cheddar','cream','potato','mayonnaise']"
Mushroom Melt Stuffed Chicken,"['¼ cup butter', '1 large onion, finely chopped', '½ pound button mushrooms, chopped', '½ teaspoon salt', '½ teaspoon ground black pepper', '1 cup Italian seasoned bread crumbs', '12 skinless, boneless chicken breast halves', '12 slices Black Forest ham', '2 cups shredded Havarti-pepper cheese', '24 slices bacon']","['butter','onion','mushroom','tea','tea','rum','chicken','ham','cheese','bacon']"
Tuna Melts,"['1 (1 pound) loaf French bread', '1 small sweet onion, peeled and diced', '1 (12 ounce) can tuna, drained', '2 cups mozzarella cheese, shredded', '1 cup mayonnaise']","['bread','onion','tuna','mozzarella','mayonnaise']"
Tuna Panini Melt,"['1 (5 ounce) can solid white albacore tuna in water (such as Bumble Bee®)', '1 tablespoon mayonnaise', '1 tablespoon balsamic vinegar', '1 tablespoon chopped onion', '1 dill pickle, chopped', '4 slices sourdough bread', '2 slices American cheese']","['water','mayonnaise','vinegar','onion','dill','bread','cheese']"
Ham and Cheddar Cranberry Melt,"['8 slices your favorite bread', '6 tablespoons butter, softened', '8 tablespoons coarse-grained mustard', '1 ¼ pounds Smithfield Ham slices', '¾ pound white Cheddar cheese, sliced', '1 cup whole berry cranberry sauce', '3 cups assorted salad greens']","['bread','butter','grain','ham','cheddar','cranberry sauce','3 cups assorted salad greens']"
Tuna Pita Melt,"['½ pita bread round', '¼ cup tuna, drained', '½ dill pickle spear, diced', '1 ½ teaspoons mayonnaise', '1 ½ teaspoons olive oil', '½ teaspoon garlic powder', '1 pinch dried rosemary', '1 slice Swiss cheese']","['bread','tuna','dill','mayonnaise','oil','garlic','rosemary','cheese']"
Tex-Mex Patty Melts,"['1 pound ground beef', '3 tablespoons chili seasoning mix', '2 chipotle peppers in adobo sauce, minced', '½ fluid ounce beer', '¼ cup mayonnaise', '1 chipotle pepper in adobo sauce, minced', '6 (1 ounce) slices white bread', '6 (1/2 ounce) slices pepperjack cheese']","['beef','chili','adobo sauce','beer','mayonnaise','adobo sauce','bread','cheese']"
Crab and Swiss Melts,"['1 (8 ounce) package cream cheese, softened', '1 cup cooked crabmeat', '1 clove garlic, chopped', 'salt and pepper to taste', 'hot pepper sauce to taste', '4 thick slices Italian bread, cut in half', '1 ½ cups shredded Swiss cheese', '1 tablespoon chopped fresh parsley for garnish']","['cream','crabmeat','garlic','salt','pepper','bread','cheese','parsley']"
,[],['']
Grands!® Ham and Cheese Melts,"['1 (16.3 ounce) can Pillsbury® Grands!® refrigerated biscuits (any variety)', '8 slices American cheese', '8 ounces thinly sliced deli ham', '1 egg', '1 teaspoon water']","['biscuit','cheese','ham','egg','tea']"
Sunshine Hummus Melts,"['8 slices multigrain bread', '1 cup hummus', '2 Granny Smith apples, thinly sliced', '1 cup shredded sharp Cheddar cheese']","['bread','hummus','apple','cheddar']"
Grands!® Easy Taco Melts,"['1 pound (at least 80%) ground beef, cooked, drained', ""1 ½ cups Old El Paso® Thick 'n Chunky Salsa"", '1 (16.3 ounce) can Pillsbury® Grands!® refrigerated biscuits', '½ cup shredded Monterey Jack cheese or Mexican cheese blend']","['beef','salsa',', ']"
Olive Cheese Melts,"['1 cup black olives, chopped', '⅓ cup green onions, chopped', '1 ½ cups shredded Cheddar cheese', '½ teaspoon curry powder', '½ cup mayonnaise', '½ teaspoon salt', '8 English muffins, split in half']","['olives','onion','cheddar','tea','mayonnaise','tea','english muffins']"
Reuben Sandwich II,"['2 tablespoons butter', '8 slices rye bread', '8 slices deli sliced corned beef', '8 slices Swiss cheese', '1 cup sauerkraut, drained', '½ cup Thousand Island dressing']","['butter','bread','beef','cheese','sauerkraut','thousand island dressing']"
Grilled Turkey Reuben Sandwiches,"['1 cup sauerkraut, drained', '10 ounces sliced deli turkey meat', '2 tablespoons butter', '4 slices marble rye bread', '4 slices Swiss cheese', '4 tablespoons thousand island salad dressing, or to taste']","['sauerkraut','turkey','butter','bread','cheese','thousand island salad dressing']"
Pastrami-Spiced Duck Breast Reuben,"['2 skin-on, boneless duck breast halves', '1 tablespoon olive oil', '1 tablespoon ground black pepper', '2 teaspoons ground coriander', '2 teaspoons kosher salt, or more to taste', '1 teaspoon smoked paprika', '½ teaspoon dry mustard', '1 pinch cayenne pepper', '½ cup olive oil', '¼ cup sherry vinegar', '2 tablespoons Dijon mustard', 'salt and ground black pepper to taste', '2 cups chopped green cabbage', '2 tablespoons Russian salad dressing, or more to taste', '1 teaspoon vegetable oil, or as needed', '2 slices rye bread', '¼ cup shredded Swiss cheese']","['duck','oil','pepper','coriander','salt','paprika','tea','cayenne','oil','sherry','dijon mustard','pepper','cabbage','2 tablespoons russian salad dressing, or more to taste','tea','bread','cheese']"
Turkey Reuben Burgers,"['1 ⅓ pounds ground turkey', '1 large clove garlic, finely chopped', '¼ cup thousand island salad dressing', '½ cup Italian-style bread crumbs', '½ teaspoon garlic salt, or to taste', '¼ cup Italian-style bread crumbs', '2 tablespoons olive oil', '4 slices mozzarella cheese', '1 large onion, cut into rings', '1 pinch ground black pepper', '2 tablespoons butter, softened', '8 slices whole-grain sandwich bread', '1 (14.5 ounce) can sauerkraut, drained']","['turkey','garlic','thousand island salad dressing','rum','garlic','rum','oil','mozzarella','onion','pepper','butter','bread','sauerkraut']"
Mom's Chicken Pot Pie,"['⅓ cup butter', '⅓ cup chopped onion', '⅓ cup all-purpose flour', '½ teaspoon salt', '¼ teaspoon ground black pepper', '1 ¾ cups chicken broth', '⅔ cup milk', '2 cups chopped cooked chicken', '1 (14.5 ounce) can peas and carrots', '½ (15 ounce) can whole new potatoes, drained', '1 (15 ounce) package prepared double-crust pie pastry']","['butter','onion','flour','tea','tea','chicken','milk','chicken','carrot','potato','pastry']"
Chicken Pot Pie IX,"['1 pound skinless, boneless chicken breast halves - cubed', '1 cup sliced carrots', '1 cup frozen green peas', '½ cup sliced celery', '⅓ cup butter', '⅓ cup chopped onion', '⅓ cup all-purpose flour', '½ teaspoon salt', '¼ teaspoon black pepper', '¼ teaspoon celery seed', '1 ¾ cups chicken broth', '⅔ cup milk', '2 (9 inch) unbaked pie crusts']","['chicken','carrot','peas','celery','butter','onion','flour','tea','tea','celery','chicken','milk','pie crust']"
Dad's Leftover Turkey Pot Pie,"['2 cups frozen peas and carrots', '2 cups frozen green beans', '1 cup sliced celery', '⅔ cup butter', '⅔ cup chopped onion', '⅔ cup all-purpose flour', '1 teaspoon salt', '1 teaspoon ground black pepper', '½ teaspoon celery seed', '½ teaspoon onion powder', '½ teaspoon Italian seasoning', '1 ¾ cups chicken broth', '1 ⅓ cups milk', '4 cups cubed cooked turkey meat - light and dark meat mixed', '4 (9 inch) unbaked pie crusts']","['carrot','beans','celery','butter','onion','flour','tea','tea','celery','onion','tea','chicken','milk','turkey','pie crust']"
Turkey Pot Pie I,"['1 recipe pastry for a (10 inch) double crust pie', '4 tablespoons butter, divided', '1 small onion, minced', '2 stalks celery, chopped', '2 carrots, diced', '3 tablespoons dried parsley', '1 teaspoon dried oregano', 'salt and pepper to taste', '2 cubes chicken bouillon', '2 cups water', '3 potatoes, peeled and cubed', '1 ½ cups cubed cooked turkey', '3 tablespoons all-purpose flour', '½ cup milk']","['pastry','butter','onion','celery','carrot','parsley','oregano','salt','chicken','water','potato','turkey','flour','milk']"
Mahi Mahi Pot Pie,"['1 tablespoon vegetable oil', '1 ½ pounds mahi mahi fillets', '1 teaspoon dried thyme', 'salt and ground black pepper to taste', '1 (10.75 ounce) can condensed cream of potato soup', '½ cup milk', '1 (15 ounce) can mixed vegetables (with potatoes), drained', '2 (9 inch) deep dish pie crusts']","['oil','1 ½ pounds mahi mahi fillets','tea','pepper','cream','milk','potato','pie crust']"
Grandma Carlson's Turkey Pot Pie,"['2 cups all-purpose flour', '1 teaspoon salt', '7 tablespoons cold vegetable shortening', '6 tablespoons cold butter', '6 tablespoons cold water, or as needed', '3 tablespoons butter', '2 carrots, diced', '1 onion, diced', '2 stalks celery, diced', '⅛ teaspoon ground black pepper', '2 tablespoons all-purpose flour', '2 cups cubed cooked turkey', '2 tablespoons butter', '2 cups chicken broth', '1 (15 ounce) can cut green beans, drained', '1 (10.75 ounce) can condensed cream of mushroom soup', '½ (15 ounce) can cream-style corn', '1 tablespoon chopped fresh flat-leaf parsley', '1 tablespoon chopped fresh thyme']","['flour','tea','vegetable shortening','butter','water','butter','carrot','onion','celery','tea','flour','turkey','butter','chicken','beans','cream','corn','parsley','thyme']"
Easy Vegetable Pot Pie,"['1 (10.75 ounce) can condensed cream of potato soup', '1 (15 ounce) can mixed vegetables, drained', '½ cup milk', '½ teaspoon dried thyme', '½ teaspoon ground black pepper', '2 (9 inch) frozen prepared pie crusts, thawed', '1 egg, lightly beaten']","['cream','vegetables','milk','tea','tea','pie crust','egg']"
Left-Over Turkey Pot Pie,"['¼ cup butter', '½ cup chopped onion', '½ cup chopped mushrooms', '1 tablespoon minced garlic', '⅓ cup all purpose flour', '½ teaspoon dried sage', '¼ teaspoon dried thyme', '1 ½ cups prepared turkey gravy', '½ cup water', '½ cup milk', '1 (14 ounce) package frozen mixed vegetables, thawed and drained', '3 cups cooked turkey, cubed', '1 pinch salt and ground black pepper to taste', '1 pastry for a 10-inch double crust pie']","['butter','onion','mushroom','garlic','flour','sage','tea','turkey','water','milk','vegetables','turkey','pepper','pastry']"
Veggie Pot Pie,"['2 tablespoons olive oil', '1 onion, chopped', '8 ounces mushrooms', '1 clove garlic, minced', '2 large carrots, diced', '2 potatoes, peeled and diced', '2 stalks celery, sliced 1/4 inch wide', '2 cups cauliflower florets', '1 cup fresh green beans, trimmed and snapped into 1/2 inch pieces', '3 cups vegetable broth', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '2 tablespoons cornstarch', '2 tablespoons soy sauce', '1 recipe pastry for double-crust pie']","['oil','onion','mushroom','garlic','carrot','potato','celery','cauliflower','beans','broth','salt','tea','corn','soy sauce','pastry']"
To-Die-For Chicken Pot Pie,"['6 carrots, chopped', '6 stalks celery, chopped', '1 cup fresh or frozen peas', '1 cup fresh or frozen green beans, thawed', '1 cup corn kernels', '1 yellow onion, diced', '1 cup quartered red potatoes', '3 cups chicken broth', '1 teaspoon thyme', '½ teaspoon salt', '½ teaspoon ground black pepper', '4 (.87 ounce) packages dry chicken gravy mix', '4 cups water', '1 (15 ounce) package double crust ready-to-use pie crusts (such as Pillsbury®)', '1 whole roasted chicken, bones and skin removed, meat shredded', '¼ cup butter, cut into pieces', '1 egg', '¼ cup milk']","['carrot','celery','peas','beans','corn','onion','potato','chicken','tea','tea','tea','chicken','water','pie crust','chicken','butter','egg','milk']"
Chicken Pot Pie IV,"['1 recipe pastry for a 9 inch double crust pie', '1 carrot, chopped', '1 head fresh broccoli, chopped', '2 boneless chicken breast halves, cooked and chopped', '1 (10.75 ounce) can condensed cream of chicken soup', '⅔ cup milk', '1 cup shredded Cheddar cheese', '½ teaspoon salt']","['pastry','carrot','broccoli','chicken','chicken','milk','cheddar','tea']"
"Simple, Classic Chicken Potpie","['6 cups roasted, shredded rotisserie chicken', '1 (15 ounce) package refrigerated pie crusts', '2 tablespoons vegetable oil', '2 medium onions, chopped', '3 small stalks celery, cut crosswise 1/4-inch thick', '2 cups chicken broth', '1 (12 fluid ounce) can evaporated milk', '⅓ cup butter', '9 tablespoons all-purpose flour', '¾ teaspoon dried thyme', '¼ cup dry sherry or white wine', 'Salt and ground pepper', '¼ cup chopped fresh parsley', '1 (16 ounce) package frozen peas and carrots, not thawed']","['chicken','pie crust','oil','onion','celery','chicken','milk','butter','flour','tea','sherry','salt','parsley','carrot']"
Easy Weeknight Chicken Pot Pie,"['1 (15 ounce) box Pillsbury® refrigerated pie crusts, softened as directed on box', '1 (9 ounce) pouch Progresso™ Recipe Starters™ creamy roasted garlic with chicken stock cooking sauce', '¼ cup all-purpose flour', '½ teaspoon poultry seasoning', '1 (12 ounce) bag Green Giant® Valley Fresh Steamers™ frozen mixed vegetables, thawed and drained', '1 ½ cups chopped deli rotisserie chicken']","['pie crust','chicken','flour','poultry seasoning','tea','chicken']"
Gram's Chicken Pot Pie,"['1 (2 to 3 pound) whole chicken', '2 (9 inch) deep dish frozen pie crusts, thawed', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 (10 ounce) package frozen green peas, thawed', '2 cups water, or as needed', '1 teaspoon chicken bouillon granules']","['chicken','pie crust','cream','peas','water','chicken']"
Jambalaya Pot Pie,"['½ cup uncooked white rice', '¾ cup water', '2 Italian sausage links', '2 tablespoons butter', '2 tablespoons all-purpose flour', '2 cups whole milk', '3 tablespoons Cajun seasoning, or to taste', '1 cup cooked chicken meat, shredded', '3 drops liquid smoke flavoring, or to taste', '½ cup finely chopped onion', '½ cup chopped red bell pepper', '2 cloves garlic, minced, or more to taste', '½ cup uncooked shrimp - peeled, deveined, and tails removed', '2 sheets frozen puff pastry, thawed', '1 beaten egg']","['ice','water','sage','butter','flour','milk','cajun seasoning','chicken','liquid smoke','onion','pepper','clove','shrimp','pastry','egg']"
Speedy Chili Pot Pie,"['2 (15 ounce) cans turkey chili with beans, undrained', '1 (8.5 ounce) package corn bread/muffin mix', '⅓ cup milk', '1 egg', '2 tablespoons shredded Cheddar cheese, or as desired', '1 tablespoon sour cream, or as desired']","['turkey','corn','milk','egg','cheddar','cream']"
Pheasant Pot Pie,"['2 cups chicken broth', '1 pound pheasant, cut into bite-size pieces', '1 cup chopped carrots', '½ cup chopped celery', '1 (15 ounce) can peas, drained', '⅓ cup salted butter', '½ yellow onion, chopped', '⅓ cup all-purpose flour', '⅔ cup milk', '1 teaspoon salt', '1 teaspoon dried rosemary', '½ teaspoon ground black pepper', '½ teaspoon dried sage', '½ teaspoon ground celery seed', '2 9-inch refrigerated pie crusts', '1 egg white, beaten']","['chicken','1 pound pheasant, cut into bite-size pieces','carrot','celery','peas','butter','onion','flour','milk','tea','rosemary','tea','sage','celery','pie crust','egg']"
Salmon Pot Pie,"['3 cups clam juice', '1 (3 ounce) salmon fillet, skin removed', '1 tablespoon olive oil', '2 tablespoons butter', '1 carrot, peeled and diced', '1 stalk celery, diced', '1 small leek, diced', '1 shallot, minced', '3 tablespoons all-purpose flour, or as needed', '1 cup heavy whipping cream', '3 tablespoons chopped fresh dill, or to taste', '½ lemon, juiced, or to taste', 'salt and ground black pepper to taste', '10 medium shrimp, peeled and deveined', '1 ½ ounces smoked salmon, chopped', '½ sheet frozen puff pastry, thawed']","['ice','salmon','oil','butter','carrot','celery','leek','shallot','flour','cream','dill','lemon','pepper','shrimp','salmon','pastry']"
Chicken and Bacon Pot Pie,"['6 slices bacon, cut into 1/2-inch pieces', '½ pound sliced fresh mushrooms', '1 (5 ounce) potatoes, peeled and cubed', '1 onion, chopped', '1 carrot, chopped', '2 cloves garlic, minced', '2 tablespoons all-purpose flour', '2 ¼ cups 25%-less-sodium chicken broth', '½ cup PHILADELPHIA Light Brick Cream Cheese Spread, cubed', '3 cups shredded cooked chicken', '1 recipe Foolproof PHILLY Pie Crust*']","['bacon','mushroom','potato','onion','carrot','clove','flour','chicken','cream','chicken','pie crust']"
Turkey Pot Pie With Mayonnaise,"['2 cups chopped cooked turkey', '1 cup chopped carrots', '1 cup chopped green beans', '¼ cup chopped celery', '¼ cup chopped green pepper', '1 cup shredded Cheddar cheese', '1 clove garlic, minced', '1 teaspoon dried dill weed', '¼ teaspoon salt', '½ cup mayonnaise', '1 cup all-purpose flour', '⅓ cup vegetable shortening', '¼ cup cold water, or as needed']","['turkey','carrot','beans','celery','pepper','cheddar','garlic','dill','tea','mayonnaise','flour','vegetable shortening','water']"
Tuscan Pot Pie,"['¾ pound bulk Italian sausage', '1 (15 ounce) jar spaghetti sauce with mushrooms', '1 (15 ounce) can cannellini beans, drained and rinsed', '½ teaspoon dried thyme', '1 ½ cups shredded mozzarella cheese', '1 (8 ounce) package crescent roll dough, unrolled and divided into triangles']","['sage','spaghetti','beans','tea','mozzarella','roll']"
Jody's Chilean Pot Pie,"['1 cup raisins', '4 ½ cups beef broth', '1 (15 ounce) package pastry for a 9-inch double-crust pie', '3 pounds ground beef', '¼ cup paprika', '3 tablespoons ground cumin', '2 tablespoons salt', '1 tablespoon ground black pepper', '1 (6 ounce) can sliced olives', '6 tablespoons butter', '¾ cup all-purpose flour', '6 1-cup ramekins']","['raisins','beef','pastry','beef','paprika','cumin','salt','pepper','olives','butter','flour','ramekins']"
Samosa Pot Pie,"['3 tablespoons salted butter', '1 large sweet onion, chopped', '2 cloves garlic, minced', '1 teaspoon salt, divided', '½ teaspoon ground black pepper, divided', '1 ½ cups chopped carrots', '4 cups chopped yellow potatoes', '1 cup whole milk', '1 cup half-and-half', '1 tablespoon ground coriander', '1 tablespoon ground cumin', '2 teaspoons curry powder', '2 teaspoons garam masala', '1 teaspoon ground ginger', '1 ½ cups frozen peas', '1 sheet frozen puff pastry']","['butter','onion','clove','tea','tea','carrot','potato','milk','half-and-half','coriander','cumin','tea','garam masala','gin','peas','pastry']"
Mini Pork Pot Pie,"['1 (16.3 ounce) can refrigerated jumbo biscuits', '1 cup diced cooked Smithfield® Garlic & Herb Seasoned Loin Filet or Sirloin Roast', '1 cup chopped frozen broccoli florets, thawed', '1 (10.75 ounce) can condensed broccoli cheese soup', '1 tablespoon Shredded Swiss or Cheddar cheese']","['biscuit','garlic','broccoli','broccoli','cheddar']"
Tofu Vegetable Pot Pie,"['⅓ cup butter', '½ cup thinly sliced onion', '1 stalk celery, thinly sliced', '2 cloves garlic, minced', '⅓ (12 ounce) package extra-firm tofu, cubed', '¼ cup cubed red potatoes', '½ teaspoon oregano', 'salt and ground black pepper to taste', '⅓ cup all-purpose flour', '⅔ cup milk', '1 ½ cups vegetable broth', '1 cup frozen mixed vegetables', '1 pastry for double-crust pie']","['butter','onion','celery','clove','tofu','potato','oregano','pepper','flour','milk','broth','vegetables','pastry']"
Root Vegetable Pot Pie,"['3 large carrots, chopped', '1 small onion, chopped', '3 red potatoes, chopped', '3 parsnips, chopped', '2 small turnips, chopped', '3 celery ribs, chopped', '½ cup lentils', '2 cloves garlic, minced', '1 teaspoon dried oregano', '1 teaspoon dried rosemary', '1 teaspoon dried thyme', '3 cups water, or as needed', '1 teaspoon salt', '12 biscuits', '½ cup grated Colby Jack cheese']","['carrot','onion','potato','parsnip','turnip','celery','lentils','clove','oregano','rosemary','tea','water','tea','biscuit','cheese']"
Beef Pot Pie I,"['1 (17.5 ounce) package frozen puff pastry, thawed', '4 tablespoons olive oil', '1 cup chopped onion', '1 teaspoon minced garlic', '1 cup raw porcini mushrooms', '1 cup chopped carrots', '½ cup chopped celery', '1 potato, diced', '1 pound beef tenderloin, cubed', '1 bay leaf', '1 teaspoon dried oregano', '1 cup dry Marsala wine', '2 tablespoons chopped fresh parsley', '1 egg white']","['pastry','oil','onion','garlic','mushroom','carrot','celery','potato','beef','bay leaf','oregano','dry marsala','parsley','egg']"
Cornbread Chicken Pot Pie,"[""1 (10.75 ounce) can Campbell's® Condensed Cream of Chicken Soup (Regular or 98% Fat Free)"", '1 (8 ounce) can whole kernel corn, drained', '2 cups cubed cooked chicken or turkey', '1 (8 ounce) package corn muffin mix', '¾ cup milk', '1 egg', '½ cup shredded Cheddar cheese']","['chicken',', ',', ',', ',', ',', ']"
Chef John's Falafel,"['1 cup dry garbanzo beans', '½ yellow onion, diced', '½ cup chopped fresh flat-leaf parsley', '4 cloves minced garlic', '1 tablespoon all-purpose flour, or more as needed', '2 teaspoons lemon juice', '1 ½ teaspoons salt, or to taste', '1 teaspoon ground cumin', '½ teaspoon ground coriander', '¼ teaspoon baking soda', '⅛ teaspoon cayenne pepper', 'oil for frying']","['beans','onion','parsley','clove','flour','tea','tea','cumin','coriander','baking soda','cayenne','oil']"
